recipe_id,recipe_name,cooking_time,difficulty,sub_ingredients,Seasonings,main_ingredients
66,굴깍두기,40.0,2,"미나리, 실파, 갓","소금, 고춧가루, 마늘, 새우젓, 설탕","무, 굴"
67,동치미,40.0,2,"실파, 대파, 배주머니, 물","소금, 마늘","무, 고추, 갓"
68,갓김치,30.0,2,"무, 실파, 깨소금, 밀가루, 물","소금, 고춧가루, 마늘, 생강, 멸치젓",갓
69,꽃게찌개,40.0,3,"애호박, 무, 느타리버섯, 청고추, 홍고추, 대파","고추장, 고춧가루, 다진마늘, 다진생강, 국간장, 소금, 후춧가루",꽃게
70,감자탕,60.0,2,"대파, 물","마늘, 생강, 간장, 고춧가루, 술, 소금, 후춧가루, 청정원맛선생","돼지고기, 감자"
71,아구탕,30.0,1,"고사리, 미나리, 싸리버섯, 깻잎, 청고추, 홍고추, 대파, 물","된장, 다진마늘, 고춧가루, 후춧가루","아구, 콩나물"
72,조기매운탕,30.0,1,"무, 양파, 대파, 물","마늘, 생강, 간장, 고추가루, 소금",조기
73,알탕,30.0,2,"콩나물, 대파, 홍고추, 쑥갓, 물","간장, 다진파, 다진마늘, 청주, 소금, 후춧가루, 고춧가루, [쇠고기양념] 간장, 설탕, 깨소금","명란, 쇠고기, 무"
74,우거지된장찌개,30.0,2,"식용유, 쇠고기, 청고추, 홍고추, 대파, 쌀뜨물","마늘, 생강, 간장","우거지, 배춧잎, 된장"
75,샤브샤브,30.0,2,"당근, 양파, 대파, 어묵, 곤약, 무, 국수, 쑥갓","다시마, 청주, 소금, 간장, 식초, 물","쇠고기, 배춧잎, 팽이버섯, 표고버섯, 느타리버섯"
76,국수전골,40.0,2,"배추, 애호박, 느타리버섯, 양파, 대파, 식용유","물, 소금, 고춧가루, 진간장, 다진마늘, 후춧가루","국수, 쇠고기"
77,낙지전골,40.0,2,"두부, 실파, 표고버섯, 홍고추, 쑥갓, 계란, 밀가루, 식용유, 물","소금, 간장, 다진파, 다진마늘, 깨소금, 참기름, 설탕","낙지, 새우, 쇠고기"
78,선지국,30.0,2,,"된장, 고추장, 다진마늘, 진간장, 고춧가루, 다진파, 깨소금, 참기름","선지, 우거지, 콩나물"
79,콩나물국밥,30.0,1,"김치, 다진마늘, 실파, 장조림, 청고추, 깨소금, 김, 계란, 쇠고기육수",새우젓,"밥, 콩나물"
80,곰탕,120.0,2,"대파, 마늘, 국수","국간장, 소금, 후추, 다진파, 다진마늘, 진간장, 참기름","쇠고기, 양, 무"
81,설렁탕,90.0,2,"파, 마늘, 밀국수, 물","소금, 후추","소 잡뼈, 사골, 도가니, 양지머리"
82,도가니탕,180.0,3,"물, 파","생강, 소금, 다진파, 고추가루, 다진마늘, 진간장, 후추","도가니, 쇠고기"
83,꼬리곰탕,60.0,3,"대파, 통마늘","소금, 국간장, 다진파, 청주, 참기름, 후추","쇠고기, 무, 당면"
84,갈비탕,175.0,3,물,"국간장, 다진파, 다진마늘, 참기름, 후추","쇠고기, 무"
85,부추김치,20.0,2,홍고추,"다진마늘, 생강, 멸치젓, 고춧가루, 설탕, 소금",부추
86,파김치,30.0,2,소금,"까나리액젓, 다진마늘, 다진생강, 고춧가루, 설탕, 깨소금",실파
87,백김치,60.0,2,"무, 밤, 배, 대추, 대파, 미나리","다진마늘, 석이버섯, 실고추, 잣, [절임용소금물] 소금, 물, 말린표고버섯, 통생강, [국물용 소금물] 소금",배추
88,깻잎장아찌,30.0,2,"깨소금, 실고추","진간장, 고춧가루, 파, 마늘, 생강",깻잎
89,오이지장아찌무침,20.0,2,"홍고추, 실파, 깨소금","고추장, 다진마늘, 고춧가루, 참기름, 설탕",오이
90,콩자반,20.0,2,,"설탕, 간장, 깨소금, 물, 참기름",콩
91,쇠고기장조림,30.0,2,"대파, 마늘, 생강, 물, 홍고추","진간장, 설탕, 참기름","쇠고기, 계란"
92,연근조림,30.0,2,"식용유, 통깨","진간장, 설탕, 청주, 물",연근
93,해물파전,40.0,2,"계란, 식용유",소금,"실파, 굴, 홍합, 조갯살, 밀가루, 멥쌀"
94,오이나물,15.0,1,깨소금,"소금, 다진파, 다진마늘, 참기름, 실고추",오이
95,냉이된장찌개,30.0,2,"대파, 마늘, 물","다시마, 소금","냉이, 모시조개, 된장"
96,계란말이,30.0,1,"다진파, 다진마늘, 물, 식용유, 다시마","소금, 후춧가루",계란
97,닭강정,40.0,2,"녹말, 깨소금","진간장, 마늘, 후춧가루, 고추장, 물엿, 술",닭
98,배추겉절이,30.0,1,"소금, 통깨","다진파, 다진마늘, 다진생강, 고춧가루, 진간장, 새우젓, 설탕, 참기름",배추
99,더덕구이,35.0,2,"물, 깨소금","간장, 참기름, 고추장, 설탕, 고춧가루, 다진파, 다진마늘",더덕
100,감자조림,40.0,1,"식용유, 깨소금","진간장, 물엿, 청주","감자, 멸치, 꽈리고추"
101,마른오징어조림,30.0,1,"물, 청고추, 깨소금","참기름, 진간장, 설탕, 다진마늘, 다진파, 후춧가루",마른오징어
102,죽순볶음,20.0,2,"녹말, 식용유, 마늘종","술, 간장, 소금, 후춧가루, 참기름, 다진마늘, 생강즙","죽순, 쇠고기"
103,호박전,30.0,1,"밀가루, 계란, 쑥갓, 식용유","소금, 진간장, 식초",애호박
104,탕수육,30.0,2,"물, 당근, 식용유, 죽순, 계란흰자, 표고버섯","간장, 설탕, 청피망, 식초, 녹말가루, 물","홍피망, 돼지고기, 녹말"
105,콩국계란찜,30.0,2,"칵테일새우, 장식용어묵, 은행, 실파, 통깨, 잣","소금, 새우젓","메주콩, 계란"
106,불고기,20.0,2,깨소금,"진간장, 배즙, 설탕, 다진파, 다진마늘, 후춧가루, 참기름",쇠고기
107,부추전,30.0,2,"청고추, 홍고추, 밀가루, 계란",소금,부추
108,돼지갈비구이,50.0,1,"깨소금, 상추, 깻잎","생강즙, 술, 진간장, 다진파, 다진마늘, 고춧가루, 설탕",돼지갈비
109,모듬초밥,50.0,2,,"식초, 설탕, 소금, 고추냉이","쌀, 참치, 오징어, 문어, 새우"
110,꽁치무조림,25.0,1,"물, 식용유","진간장, 생강즙, 다진파, 다진마늘, 고춧가루","꽁치, 무"
111,김치적,25.0,1,"밀가루, 계란, 식용유","참기름, 소금","김치, 쇠고기, 표고버섯, 통도라지"
112,낙지볶음,30.0,2,"소금, 양파, 호박, 대파, 청고추, 홍고추","고추장, 고춧가루, 간장, 참기름, 생강즙, 설탕, 깨소금",낙지
113,두부김치,20.0,1,"깻잎, 깨소금","다진파, 다진마늘, 참기름, 소금","두부, 배추김치"
114,오믈렛,20.0,1,"우유, 식용유, 버터","소금, 후춧가루, 토마토케첩",계란
115,롤케비지(양배추말이),60.0,2,"양파, 당근, 계란, 빵가루, 물","소금, 후춧가루, 넛맥, 간장","양배추, 쇠고기, 돼지고기"
116,두부미역냉채,30.0,1,"양파, 홍고추","간장, 참기름, 설탕, 통깨","두부, 미역"
117,중국식볶음밥,30.0,2,"당근, 양파, 표고버섯, 대파, 식용유","소금, 후춧가루","밥, 계란, 돼지고기"
118,해장라면,30.0,1,"청고추, 홍고추, 당근, 다진마늘, 대파","고춧가루, 참기름, 깨소금","라면, 배추김치, 표고버섯, 콩나물, 햄, 게맛살"
119,국수계란말이,30.0,2,"새우, 게맛살, 치커리, 미나리","다시물, 간장, 맛술, 와사비, 무, 소금","계란, 국수"
120,꽁치간장구이,40.0,1,"소금, 실파","간장, 설탕, 청주, 물, 생강",꽁치
121,감자고추채볶음,30.0,1,"청고추, 홍고추, 식용유","간장, 참기름, 설탕, 소금, 흰후춧가루",감자
122,가는파잡채,30.0,1,생강,"간장, 소금, 참기름","가는파, 양파, 돼지고기, 청주, 굵은파, 마늘, 생강, 식용유, 후춧가루"
123,묵과양념장,20.0,1,"오이, 게맛살","간장, 설탕, 식초, 홍고추, 참기름, 깨소금","도토리묵, 청포묵"
