"id","name","logo_img","base_price","category","detail"
"39","5G 심플 70GB","KT","65,000 ","통신사","{""content"": [""데이터 - 70GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""만 34세 이하 : 기본데이터 2배 제공""]]}"
"40","5G 심플 50GB","KT","63,000 ","통신사","{""content"": [""데이터 - 50GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""만 34세 이하 : 기본데이터 2배 제공""]]}"
"41","5G 심플 30GB","KT","61,000 ","통신사","{""content"": [""데이터 - 30GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""만 34세 이하 : 기본데이터 2배 제공""]]}"
"42","5G 슬림 21GB","KT","58,000 ","통신사","{""content"": [""데이터 - 21GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""만 34세 이하 : 기본데이터 2배 제공""]]}"
"43","5G 슬림 14GB","KT","55,000 ","통신사","{""content"": [""데이터 - 14GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""만 34세 이하 : 기본데이터 2배 제공""]]}"
"44","5G 슬림 10GB","KT","50,000 ","통신사","{""content"": [""데이터 - 10GB+다 쓰면 최대 400Kbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""만 34세 이하 : 기본데이터 2배 제공""]]}"
"45","5G 슬림 7GB","KT","45,000 ","통신사","{""content"": [""데이터 - 7GB+다 쓰면 최대 400Kbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""만 34세 이하 : 기본데이터 2배 제공""]]}"
"46","5G 슬림 4GB","KT","37,000 ","통신사","{""content"": [""데이터 - 4GB+다 쓰면 최대 400Kbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""만 34세 이하 : 기본데이터 2배 제공""]]}"
"47","5G 슬림(이월) 21GB","KT","58,000 ","통신사","{""content"": [""데이터 - 21GB (+이월)"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""만 34세 이하 : 기본데이터 2배 제공""]]}"
"48","5G 슬림(이월) 14GB","KT","55,000 ","통신사","{""content"": [""데이터 - 14GB (+이월)"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""만 34세 이하 : 기본데이터 2배 제공""]]}"
"49","5G 슬림(이월) 10GB","KT","50,000 ","통신사","{""content"": [""데이터 - 10GB (+이월)"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""만 34세 이하 : 기본데이터 2배 제공""]]}"
"50","5G 슬림(이월) 7GB","KT","45,000 ","통신사","{""content"": [""데이터 - 7GB (+이월)"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""만 34세 이하 : 기본데이터 2배 제공""]]}"
"51","5G 슬림(이월) 4GB","KT","37,000 ","통신사","{""content"": [""데이터 - 4GB (+이월)"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""만 34세 이하 : 기본데이터 2배 제공""]]}"
"52","Y 스페셜","KT","100,000 ","통신사","{""content"": [""데이터 - 무제한"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""무제한(최대 1Mbps속도제한)"", ""단말보험 가입 및 납부 고객 월정액 요금을 멤버십 월 최대 4,500원 할인3)"", ""스마트기기 1회선 무료(스마트기기 또는 데이터쉐어링 중 택1)""]]}"
"53","Y 베이직","KT","80,000 ","통신사","{""content"": [""데이터 - 무제한"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""무제한(최대 1Mbps속도제한)"", ""스마트기기 50%할인""]]}"
"54","Y 슬림","KT","55,000 ","통신사","{""content"": [""데이터 - 14GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""무제한(최대 100Kbps속도제한)""]]}"
"55","5G Y틴","KT","47,000 ","통신사","{""content"": [""데이터 - 10GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""공유데이터 10GB 추가 제공""]]}"
"56","5G 주니어","KT","38,000 ","통신사","{""content"": [""데이터 - 5GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""KT 안심박스 무료제공""]]}"
"57","5G 주니어 슬림","KT","28,000 ","통신사","{""content"": [""데이터 - 3GB+다 쓰면 최대 400Kbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""KT 안심박스 무료제공""]]}"
"58","어 베이직","KT","49,000 ","통신사","{""content"": [""데이터 - 15GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""KT 안심박스 무료제공"", ""만 65세 이상""]]}"
"59","5G 시니어 A형","KT","44,000 ","통신사","{""content"": [""데이터 - 10GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""KT 안심박스 무료제공"", ""만 65세 이상""]]}"
"60","5G 시니어 B형","KT","42,000 ","통신사","{""content"": [""데이터 - 9GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""KT 안심박스 무료제공"", ""만 75세 이상""]]}"
"61","5G 시니어 C형","KT","41,000 ","통신사","{""content"": [""데이터 - 8GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""KT 안심박스 무료제공"", ""만 80세 이상""]]}"
"62","5G 웰컴 5","KT","59,000 ","통신사","{""content"": [""데이터 - 5GB+다 쓰면 최대 5Mbps"", ""통화량 - 200분/200건"", ""문자 - 기본제공"", [""001 Free 무료"", ""GME 해외송금 수수료 무료 쿠폰2장"", ""출시 프로모션 : 20GB 추가 제공(기본 제공 데이터 추가 시 총 25GB/월)""]]}"
"63","5G 웰컴 3","KT","49,000 ","통신사","{""content"": [""데이터 - 3GB+다 쓰면 최대 3Mbps"", ""통화량 - 200분/200건"", ""문자 - 기본제공"", [""001 Free 무료"", ""GME 해외송금 수수료 무료 쿠폰2장"", ""출시 프로모션 : 데이터 속도 업그레이드 : 3Mbps →5Mbps""]]}"
"64","5G 웰컴 1","KT","39,000 ","통신사","{""content"": [""데이터 - 1GB+다 쓰면 최대 1Mbps"", ""통화량 - 200분/200건"", ""문자 - 기본제공"", [""001 Free 무료"", ""GME 해외송금 수수료 무료 쿠폰2장"", ""출시 프로모션 : 데이터 속도 업그레이드 : 1Mbps →3Mbps""]]}"
"65","5G 베이직 복지","KT","80,000 ","통신사","{""content"": [""데이터 - 무제한"", ""통화량 - 집/이동전화 무제한(+영상/부가통화 600분)"", ""문자 - 기본제공"", [""데이터로밍 : 무제한(최대 100Kbps속도제한)""]]}"
"66","5G 심플 복지","KT","69,000 ","통신사","{""content"": [""데이터 - 110GB+다 쓰면 최대 5Mbps"", ""통화량 - 집/이동전화 무제한(+영상/부가통화 600분)"", ""문자 - 기본제공"", """"]}"
"67","5G 슬림 복지","KT","55,000 ","통신사","{""content"": [""데이터 - 14GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화 무제한(+영상/부가통화 600분)"", ""문자 - 기본제공"", """"]}"
"68","프리미엄","KT","89,000 ","통신사","{""content"": [""데이터 - 무제한"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""단말보험 가입 및 납부 고객 월정액 요금을 멤버십 월 최대 4,500원 할인3)"", ""스마트기기요금 1회선 무료"", ""콘텐츠 필수팩 L3(지니/밀리) 무료""]]}"
"69","비디오 플러스","KT","69,000 ","통신사","{""content"": [""데이터 - 110GB+다 쓰면 최대 5Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", """"]}"
"70","LTE 베이직","KT","33,000 ","통신사","{""content"": [""데이터 - 1.4GB(+밀당*)"", ""통화량 - 집/이동전화 무제한(+영상/부가 50분)"", ""문자 - 기본제공"", """"]}"
"71","Y데이터 ON 프리미엄","KT","89,000 ","통신사","{""content"": [""데이터 - 무제한"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""단말보험 가입 및 납부 고객 월정액 요금을 멤버십 월 최대 4,500원 할인3)"", ""1회선 무료"", ""콘텐츠 필수팩 L3(지니/밀리) 무료""]]}"
"72","Y데이터 ON 비디오 플러스","KT","69,000 ","통신사","{""content"": [""데이터 - 110GB+다 쓰면 최대 5Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""콘텐츠 필수팩 L3(지니/밀리) 50% 할인""]]}"
"73","Y베이직","KT","33,000 ","통신사","{""content"": [""데이터 - 2.5GB(+밀당*)"", ""통화량 - 집/이동전화 무제한(+영상/부가 50분)"", ""문자 - 기본제공"", """"]}"
"74","Y틴ON","KT","33,000 ","통신사","{""content"": [""데이터 - 2.5GB+다 쓰면 최대 400Kbps"", ""통화량 - 집/이동전화 무제한(+영상/부가 50분)"", ""문자 - 기본제공"", """"]}"
"75","Y틴 27","KT","27,390 ","통신사","{""content"": [""데이터 - 43,008알"", ""통화량 - 43,008알"", ""문자 - 일 200건"", """"]}"
"76","Y틴 20","KT","20,900 ","통신사","{""content"": [""데이터 - 28,672알"", ""통화량 - 28,672알"", ""문자 - 일 200건"", """"]}"
"77","Y주니어 ON","KT","24,000 ","통신사","{""content"": [""데이터 - 1.5GB+다 쓰면 최대 400Kbps"", ""통화량 - KT모바일끼리 무제한(그 외 음성통화 60분)"", ""문자 - 기본제공"", [""KT안심박스""]]}"
"78","Y주니어 19.8","KT","19,800 ","통신사","{""content"": [""데이터 - 900MB(18,432알)+다 쓰면 최대 400Kbps"", ""통화량 - KT모바일 지정 2회선 무제한"", ""문자 - 일 200건"", [""KT안심박스""]]}"
"79","키즈 알115","KT","12,650 ","통신사","{""content"": [""데이터 - 기본알 12,000알*문자 전용 추가 750알 (다 쓰면 기본알에서 이용 가능)"", ""통화량 - 기본알 12,000알*문자 전용 추가 750알 (다 쓰면 기본알에서 이용 가능)"", ""문자 - 750알"", [""KT안심박스""]]}"
"80","시니어 베이직","KT","33,000 ","통신사","{""content"": [""데이터 - 2GB(+밀당*)"", ""통화량 - 집/이동전화 기본제공(+영상/부가 100분)"", ""문자 - 기본제공"", [""KT 안심박스 무료제공""]]}"
"81","순 골든 20","KT","22,000 ","통신사","{""content"": [""데이터 - 500MB"", ""통화량 - 국내 음성통화 30% 할인(지정 3회선),영상통화 망내 100분"", ""문자 - "", [""데이터,음성,문자 조절 제공량 20,000원""]]}"
"82","골든 150","KT","16,500 ","통신사","{""content"": [""데이터 - 300MB"", ""통화량 - 국내 음성통화 30% 할인(지정 2회선),영상통화 망내 100분"", ""문자 - "", [""데이터,음성,문자 조절 제공량 13,000원""]]}"
"83","Y 군인77 Plus","KT","77,000 ","통신사","{""content"": [""데이터 - 무제한"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""지니뮤직/밀리의서재/블라이스 셀렉트 중 2개 선택""]]}"
"84","Y 군인55 Plus","KT","55,000 ","통신사","{""content"": [""데이터 - 100GB+다 쓰면 최대 5Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""지니뮤직/밀리의서재/블라이스 셀렉트 중 1개 선택""]]}"
"85","Y 군인33","KT","33,000 ","통신사","{""content"": [""데이터 - 일 2GB+다 쓰면 최대 3Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""필수팩 L3(지니/밀리)""]]}"
"86","LTE 다이렉트 45","KT","45,000 ","통신사","{""content"": [""데이터 - 100GB+다 쓰면 최대 5Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", """"]}"
"87","순 선택형 100분 250M","KT","20,900 ","통신사","{""content"": [""데이터 - 250M"", ""통화량 - 음성 100분"", ""문자 - 문자 100건"", """"]}"
"88","순 선택형 180분 250M","KT","29,700 ","통신사","{""content"": [""데이터 - 250M"", ""통화량 - 음성 180분"", ""문자 - 문자 180건"", """"]}"
"89","순 망내무한 선택형 100분 250M","KT","27,830 ","통신사","{""content"": [""데이터 - 250M"", ""통화량 - KT 모바일끼리 음성 무제한(그외 음성통화100분 제공)"", ""문자 - 기본제공"", """"]}"
"90","순 망내무한 선택형 180분 250M","KT","31,020 ","통신사","{""content"": [""데이터 - 250M"", ""통화량 - KT 모바일끼리 음성 무제한(그외 음성통화180분 제공)"", ""문자 - 기본제공"", """"]}"
"91","순 선택형 100분 1GB","KT","27,500 ","통신사","{""content"": [""데이터 - 1GB"", ""통화량 - 음성 100분"", ""문자 - 문자 100건"", """"]}"
"92","순 선택형 180분 1GB","KT","31,900 ","통신사","{""content"": [""데이터 - 1GB"", ""통화량 - 음성 180분"", ""문자 - 문자 180건"", """"]}"
"93","순 망내무한 선택형 100분 1GB","KT","32,230 ","통신사","{""content"": [""데이터 - 1GB"", ""통화량 - KT 모바일끼리 음성 무제한(그외 음성통화100분 제공)"", ""문자 - 기본제공"", """"]}"
"94","순 망내무한 선택형 180분 1GB","KT","35,200 ","통신사","{""content"": [""데이터 - 1GB"", ""통화량 - KT 모바일끼리 음성 무제한(그외 음성통화180분 제공)"", ""문자 - 기본제공"", """"]}"
"95","순 선택형 100분 2GB","KT","30,800 ","통신사","{""content"": [""데이터 - 2GB"", ""통화량 - 음성 100분"", ""문자 - 문자 100건"", """"]}"
"96","음성 18.7","KT","18,700 ","통신사","{""content"": [""데이터 - 데이터 사용 기본 차단"", ""통화량 - 100분"", ""문자 - 100건"", """"]}"
"97","음성 12.1","KT","12,100 ","통신사","{""content"": [""데이터 - 데이터 사용 기본 차단"", ""통화량 - "", ""문자 - 50건"", """"]}"
"98","데이터ON 나눔","KT","49,000 ","통신사","{""content"": [""데이터 - 6GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가600분)"", ""문자 - 기본제공"", """"]}"
"99","나눔 베이직","KT","33,000 ","통신사","{""content"": [""데이터 - 2GB(+밀당*)"", ""통화량 - 집/이동전화무제한(+영상/부가600분)"", ""문자 - 기본제공"", """"]}"
"100","웰컴 5_선불","KT","55,000 ","통신사","{""content"": [""데이터 - 5GB+다 쓰면 최대 5Mbps"", ""통화량 - 200분(+영상/부가 통화 30분)"", ""문자 - 200건"", [""사용기간 30일""]]}"
"101","웰컴 3_선불","KT","45,000 ","통신사","{""content"": [""데이터 - 3GB+다 쓰면 최대 3Mbps"", ""통화량 - 200분(+영상/부가 통화 30분)"", ""문자 - 200건"", [""사용기간 30일""]]}"
"102","웰컴 1_선불","KT","35,000 ","통신사","{""content"": [""데이터 - 1GB+다 쓰면 최대 1Mbps"", ""통화량 - 200분(+영상/부가 통화 30분)"", ""문자 - 200건"", [""사용기간 30일""]]}"
